file_id,branch_id,model,a,b,fit_rss,fit_r2,pipeline_version
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000294750],1,odd_cubic,0.0,0.0,133.3444620675833,0.21933226439546472,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000294750],1,odd_kink,-0.01930288620395518,2.3618675249843943e-06,132.6827573920394,0.22320622723341121,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000295500],1,odd_cubic,0.0,0.0,99.64318416534724,0.45052577525465565,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000295500],1,odd_kink,2.925762433745387e-05,4.283903944251111e-24,99.64318416534722,0.45052577525465565,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000296250],1,odd_cubic,0.0,0.0,40.1884780384537,0.023682909835199828,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000296250],1,odd_kink,9.623205561315205e-06,1.1099272637576016e-18,40.188478038453816,0.023682909835197052,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000297000],1,odd_cubic,0.0,0.0,37.628728398072944,0.25207582033358944,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000297000],1,odd_kink,-7.913588996649009e-06,1.789251323540035e-32,37.6287283980729,0.25207582033359033,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000297750],1,odd_cubic,0.0,0.0,81.50994388872836,0.017239944170500232,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000297750],1,odd_kink,-7.94494427488379e-06,4.584419814287707e-19,81.50994388872833,0.017239944170500676,6.0
