file_id,branch_id,model,odd_ratio_post_before,odd_ratio_post_after,odd_ratio_post_reduction,warp_magnitude,pipeline_version
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000288750],1,odd_kink,30.69353446258193,30.64480433516536,0.0015876349293032716,0.009496378684164159,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000289500],1,odd_cubic,38.98001621999313,38.98001621999313,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000289500],1,odd_kink,38.98001621999313,38.76413739057498,0.005538192395810912,0.001348184804246119,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000290250],1,odd_cubic,43.16057575704666,43.16057575704666,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000290250],1,odd_kink,43.16057575704666,43.33003725836019,-0.0039263030749970345,0.0002323006360536619,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000291000],1,odd_cubic,37.894428588380556,37.894428588380556,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000291000],1,odd_kink,37.894428588380556,37.59530007671643,0.007893733269165856,8.218998539155956e-07,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000291750],1,odd_cubic,33.377557325149624,33.377557325149624,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000291750],1,odd_kink,33.377557325149624,33.193316178758735,0.005519911016737739,0.20000244548268983,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000292500],1,odd_cubic,34.749066643900036,34.749066643900036,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000292500],1,odd_kink,34.749066643900036,34.78051492698134,-0.0009050108713300926,0.20000245138286818,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000293250],1,odd_cubic,79.38632361240794,79.38632361240794,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000293250],1,odd_kink,79.38632361240794,80.32940330824735,-0.011879624259259864,0.20000202508554865,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000294000],1,odd_cubic,67.3739770249014,67.3739770249014,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000294000],1,odd_kink,67.3739770249014,67.37397702490459,-4.745812036208991e-14,8.280872287821813e-06,6.0
