file_id,n_branches,n_parity_valid,odd_ratio_post_branchsafe,odd_ratio_post_dispersion,delta_odd_ratio_post,I_knee_norm_branchsafe,delta_I_knee_norm,parity_lock_fraction,parity_lock_consistency,pipeline_version
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000051750],1,1,7.294528995764026,0.0,0.0,0.5614035087719299,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000052500],1,1,7.297976307387959,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000053250],1,1,7.720941744039823,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000054000],1,1,7.628176042074918,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000054750],1,1,7.907964073828799,0.0,0.0,0.5588972431077693,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000055500],1,1,7.711285118873456,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000056250],1,1,7.8742895961112875,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000057000],1,1,7.404875103884367,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000057750],1,1,7.385759901584575,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000058500],1,1,7.6871277023726705,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
