file_id,segment_id,segment_dir,condition_group,condition_value,pipeline_version,I_min,I_max,N_points,has_both_signs,sweep_monotonicity,sweep_direction,n_segments,spacing_cv,parity_valid,parity_reason,f_overlap,I_max_common,odd_ratio_L1,odd_energy_L2,odd_sign_mode,odd_sign_consistency,odd_sign_entropy,odd_sign_pos_fraction,I_knee,I_knee_norm,knee_score,knee_valid,knee_edge_flag,phi0_proxy,phi0_sign,phi0_confidence,phi0_method,odd_ratio_pre,odd_ratio_post,odd_sign_mode_pre,odd_sign_consistency_pre,odd_sign_entropy_pre,odd_sign_mode_post,odd_sign_consistency_post,odd_sign_entropy_post,parity_lock_flag,parity_flip_at_knee
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000129750],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.00012975,5.5,-2.268118e-05,-3.75428e-07,2480,True,0.5000500050005,down,5,0.0916308199919633,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000130500],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.0001305,5.5,-3.653572e-07,2.239435e-05,2517,True,0.5001500150015001,down,7,0.0888768572747599,False,low_overlap,0.016106063221251,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000130500],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.0001305,5.5,-2.268174e-05,2.239526e-05,4999,True,0.5001500150015001,down,7,0.0888768572747599,True,ok,0.9873526924206524,2.239526e-05,2.572737012204026,0.6878704521298883,1.0,0.9900249376558604,0.0806277699318426,0.9900249376558604,1.371709675e-05,0.6115288220551378,4058.854406623452,True,False,1.9422153201380776,1.0,1.0,odd_integral,0.0583975606842164,6.991826974109141,1.0,0.9836734693877552,0.1202855715273837,1.0,1.0,0.0,False,False
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000130500],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.0001305,5.5,-2.268098e-05,-3.757841e-07,2480,True,0.5001500150015001,down,7,0.0888768572747599,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000131250],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.00013125,5.5,-3.659676e-07,2.239577e-05,2519,True,0.5000500050005,down,3,0.0921887198051744,False,low_overlap,0.01610083042696,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000131250],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.00013125,5.5,-2.268174e-05,2.239547e-05,5000,True,0.5000500050005,down,3,0.0921887198051744,True,ok,0.9873308649459308,2.239547e-05,2.4497071027161703,0.6859514878831025,1.0,0.9850374064837906,0.1121348154454668,0.9850374064837906,1.3717225375e-05,0.6115288220551379,3767.82464584209,True,False,1.959081691256723,1.0,1.0,odd_integral,0.0520960764217926,6.724232088619622,1.0,0.9755102040816328,0.1659565426281792,1.0,1.0,0.0,False,False
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000131250],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.00013125,5.5,-2.268108e-05,-3.761401e-07,2481,True,0.5000500050005,down,3,0.0921887198051744,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000132000],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.000132,5.5,-3.654081e-07,2.239659e-05,2519,True,0.5001000200040008,down,3,0.0903109850587615,False,low_overlap,0.0160432381927259,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000132000],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.000132,5.5,-2.268154e-05,2.239557e-05,5001,True,0.5001000200040008,down,3,0.0903109850587615,True,ok,0.987355196316748,2.239557e-05,2.420426890362489,0.6854766778502872,1.0,0.9201995012468828,0.4014758448182965,0.9201995012468828,1.36612977e-05,0.6090225563909775,3711.5237263623553,True,False,1.9634442327774209,1.0,1.0,odd_integral,0.0457921197235574,6.550107360113803,1.0,0.8688524590163934,0.5605769426145331,1.0,1.0,0.0,False,False
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000132000],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.000132,5.5,-2.268088e-05,-3.75428e-07,2480,True,0.5001000200040008,down,3,0.0903109850587615,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000132750],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.00013275,5.5,-3.651029e-07,2.239653e-05,2519,True,0.5000500050005,up,9,0.0911883707239786,False,low_overlap,0.0160844560338188,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000132750],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.00013275,5.5,-2.267986e-05,2.239308e-05,4995,True,0.5000500050005,up,9,0.0911883707239786,True,ok,0.9872872222875928,2.239308e-05,2.4361395229030283,0.6857223347689322,1.0,0.8403990024937655,0.6333541589778972,0.8403990024937655,1.36597788e-05,0.6090225563909774,3686.1896105245296,True,False,1.9614316441018484,1.0,1.0,odd_integral,0.0463158432084014,6.547109541175514,1.0,0.7377049180327869,0.8301899714180443,1.0,1.0,0.0,False,False
