file_id,n_points,I_min,I_max,I_range,spacing_cv,spacing_outlier_flag,x_name,pipeline_version,device_id,experiment_family,T_K,Vgain,Igain,FRQ_Hz,AVG,Vpp,I_coil_mA,run_id,B_proxy
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000036750],10000,-2.268215e-05,2.239557e-05,4.507772e-05,0.10368749479689822,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-3.675e-05,000036750,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000037500],10000,-2.268149e-05,2.239496e-05,4.507645e-05,0.08851439224005289,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-3.75e-05,000037500,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000038250],10000,-2.268164e-05,2.239435e-05,4.507599e-05,0.09275676927416268,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-3.825e-05,000038250,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000039000],10000,-2.268301e-05,2.239531e-05,4.507832e-05,0.09776416649692368,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-3.9e-05,000039000,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000039750],10000,-2.268256e-05,2.239526e-05,4.507782e-05,0.09509282526265889,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-3.975e-05,000039750,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000040500],10000,-2.26824e-05,2.239648e-05,4.507888e-05,0.08847295480529682,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-4.05e-05,000040500,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000041250],10000,-2.268215e-05,2.239521e-05,4.507736e-05,0.09132019425715396,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-4.125e-05,000041250,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000042000],10000,-2.26822e-05,2.239521e-05,4.5077410000000004e-05,0.09458761307674136,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-4.2e-05,000042000,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000042750],10000,-2.268184e-05,2.239526e-05,4.5077099999999996e-05,0.08947922826041275,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-4.275e-05,000042750,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000043500],10000,-2.26819e-05,2.239679e-05,4.507869e-05,0.09758323241749867,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-4.35e-05,000043500,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000044250],10000,-2.268184e-05,2.239547e-05,4.507731e-05,0.0905317072701873,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-4.425e-05,000044250,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000045000],10000,-2.268215e-05,2.239481e-05,4.507696e-05,0.09591371976065613,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-4.5e-05,000045000,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000045750],10000,-2.268205e-05,2.239608e-05,4.507813e-05,0.09242274469858201,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-4.575e-05,000045750,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000046500],10000,-2.268159e-05,2.239669e-05,4.507828e-05,0.09322106623766813,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-4.65e-05,000046500,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000047250],10000,-2.268129e-05,2.239506e-05,4.507635e-05,0.09340817940795264,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-4.725e-05,000047250,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000048000],10000,-2.268164e-05,2.239582e-05,4.507746e-05,0.0888172653862943,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-4.8e-05,000048000,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000048750],10000,-2.268174e-05,2.239567e-05,4.5077410000000004e-05,0.092490446607516,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-4.875e-05,000048750,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000049500],10000,-2.268174e-05,2.239542e-05,4.507716e-05,0.09666180133848037,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-4.95e-05,000049500,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000050250],10000,-2.2682e-05,2.239608e-05,4.5078079999999997e-05,0.09625406640663449,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-5.025e-05,000050250,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000051000],10000,-2.268169e-05,2.239582e-05,4.507751e-05,0.09313931761721313,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-5.1e-05,000051000,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000051750],10000,-2.268108e-05,2.239603e-05,4.5077109999999996e-05,0.09003379658809396,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-5.175e-05,000051750,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000052500],10000,-2.268139e-05,2.23943e-05,4.507569e-05,0.09345123210632043,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-5.25e-05,000052500,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000053250],10000,-2.268174e-05,2.239567e-05,4.5077410000000004e-05,0.09432138857571669,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-5.325e-05,000053250,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000054000],10000,-2.26821e-05,2.239419e-05,4.507629e-05,0.092097434073038,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-5.4e-05,000054000,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000054750],10000,-2.26819e-05,2.239435e-05,4.5076250000000004e-05,0.08968662626532176,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-5.475e-05,000054750,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000055500],10000,-2.268169e-05,2.239557e-05,4.507726e-05,0.09206281479855526,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-5.55e-05,000055500,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000056250],10000,-2.26823e-05,2.239587e-05,4.507817e-05,0.09372082825778724,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-5.625e-05,000056250,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000057000],10000,-2.268129e-05,2.239552e-05,4.507681e-05,0.09902771784169362,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-5.7e-05,000057000,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000057750],10000,-2.268179e-05,2.23946e-05,4.507639e-05,0.09230065816804188,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-5.775e-05,000057750,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000058500],10000,-2.268184e-05,2.239531e-05,4.507715e-05,0.0914769792312536,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-5.85e-05,000058500,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000059250],10000,-2.268179e-05,2.239486e-05,4.507665e-05,0.08958669373992306,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-5.925e-05,000059250,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000060000],10000,-2.268113e-05,2.239531e-05,4.5076440000000004e-05,0.09230182504896442,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-6e-05,000060000,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000060750],10000,-2.268093e-05,2.239567e-05,4.50766e-05,0.091834048384091,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-6.075e-05,000060750,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000061500],10000,-2.26822e-05,2.239542e-05,4.5077620000000005e-05,0.09608578797402127,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-6.15e-05,000061500,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000062250],10000,-2.268154e-05,2.23947e-05,4.507624e-05,0.0916936433768191,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-6.225e-05,000062250,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000063000],10000,-2.268256e-05,2.239496e-05,4.507752e-05,0.09353105197450873,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-6.3e-05,000063000,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000063750],10000,-2.268225e-05,2.239562e-05,4.507787e-05,0.0942632787150408,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-6.375e-05,000063750,
