file_id,branch_id,direction,n_points,monotonicity,parity_valid,overlap_fraction,pipeline_version,x_name,device_id,experiment_family,T_K,Vgain,Igain,FRQ_Hz,AVG,Vpp,odd_ratio_L1,odd_energy_L2,odd_ratio_post,odd_ratio_pre,parity_lock_after_knee,phi0_proxy,phi0_confidence,I_knee,I_knee_norm,knee_score,knee_valid,knee_edge_flag,odd_energy_ratio,odd_energy_post,odd_energy_pre,odd_flatness,corr_pm,coherence_stability,noise_flatness,I_coil_mA,run_id,B_proxy,odd_energy_ratio_log,odd_energy_ratio_norm,knee_score_norm,alignment_score
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000276750],0,up,2521,0.9992063492063492,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.00027675,000276750,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000276750],1,down,5000,0.9997999599919984,True,0.9865175416261929,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,61.873855788352245,0.7070590093866288,194.4283795731558,0.8487362151446546,False,1.5770304080633182,1.0,1.2592445625e-05,0.5614035087719298,2118.1953751234005,True,False,4.182151013607763,0.9937214783811621,0.23761013773621215,0.997608297113843,-0.27522213014033226,0.9976400793201574,0.017659640654184336,0.00027675,000276750,,1.6452202236697118,0.0,0.4717039940903996,0.489781357803519
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000276750],2,up,2479,1.0,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.00027675,000276750,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000277500],0,up,2521,0.9988095238095238,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.0002775,000277500,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000277500],1,down,5000,0.9995999199839968,True,0.9865640597057902,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,81.0457566832645,0.707082176574891,178.32103552952154,1.4635114104511415,False,1.5722135367284145,1.0,1.264794875e-05,0.5639097744360902,2138.706164955648,True,False,3.172419983019214,0.9941971340740199,0.31338761557183964,0.9937029903819256,-0.46170173359217304,0.9813864938173158,0.0176372323276911,0.0002775,000277500,,1.4284961991426972,0.0,0.4769082341903327,0.48609824266921614
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000277500],2,up,2479,1.0,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.0002775,000277500,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000278250],0,up,2520,0.999206034140532,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.00027825,000278250,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000278250],1,down,5001,0.9998,True,0.9866646348907504,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,93.73777207412962,0.707084420781565,143.69720165277013,2.416761461596457,False,1.5638774452155224,1.0,1.2593244375e-05,0.5614035087719299,2013.3258010139102,True,False,1.9741837753774745,0.9927470277830256,0.5028645459266997,0.9976594759220823,-0.284314676762716,0.9972964572193607,0.017708555572956985,0.00027825,000278250,,1.089969640136013,0.0,0.4450952458507074,0.48079723435668936
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000278250],2,up,2479,1.0,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.00027825,000278250,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000279000],0,up,2521,0.9988095238095238,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.000279,000279000,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000279000],1,down,5000,0.9997999599919984,True,0.9865217284533242,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,112.56405987844458,0.7070797127825657,355.2101424292057,1.8915689127448376,False,1.575437317724136,1.0,1.2648265149999999e-05,0.5639097744360901,2162.678347305092,True,False,1.4489957687971067,0.9984894051508237,0.6890906285932618,0.9987092565398777,0.040713443456216115,0.9920009939875983,0.01791347089003276,0.000279,000279000,,0.8956780502417544,0.0,0.48299073972455336,0.4916639112373839
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000279000],2,up,2479,1.0,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.000279,000279000,,,,,
